a,b,S_star,transcendental
-100.0,67.83919597989947,33.74756518280272,1
-100.0,68.84422110552762,109.22132412032789,1
-100.0,69.84924623115577,-29.106643036868377,1
-100.0,70.8542713567839,96.70524854191247,1
-100.0,71.85929648241205,119.78250732674925,1
-100.0,72.8643216080402,-73.41722896423,1
-100.0,73.86934673366832,-37.012145181194896,1
-100.0,74.87437185929647,62.70280664436736,1
-100.0,75.8793969849246,-112.25073638688816,1
-100.0,76.88442211055275,-75.74455906604275,1
-100.0,77.8894472361809,-84.83075749878651,1
-100.0,78.89447236180902,-127.35916014560874,1
-100.0,79.89949748743717,126.94701473075541,1
-100.0,80.9045226130653,-84.15006333121077,1
-100.0,81.90954773869345,-89.97005766241219,1
-100.0,82.9145728643216,107.96602908095508,1
-100.0,83.91959798994972,-119.0551472278838,1
-100.0,84.92462311557787,-106.72727030810083,1
-100.0,85.92964824120602,130.31138081567696,1
-100.0,86.93467336683415,-53.547422088755766,1
-100.0,87.9396984924623,-104.7926730824848,1
-100.0,88.94472361809045,22.392582826255023,1
-100.0,89.94974874371857,116.22759083752298,1
-100.0,90.95477386934672,-102.40987676717643,1
-100.0,91.95979899497485,-85.87386108742545,1
-100.0,92.964824120603,132.50744706104922,1
-100.0,93.96984924623115,121.50565190267308,1
-100.0,94.97487437185927,107.11315829331603,1
-100.0,95.97989949748742,137.8339734422747,1
-100.0,96.98492462311555,-139.11173964238574,1
-100.0,97.9899497487437,121.54503267313815,1
-100.0,98.99497487437185,-113.57098407087261,1
-100.0,100.0,-59.455897184281085,1
-98.99497487437186,-100.0,69.06215574631706,1
-98.99497487437186,-98.99497487437186,-72.06459028430345,1
-98.99497487437186,-97.98994974874373,136.5634727728542,1
-98.99497487437186,-96.98492462311557,-105.81789161192043,1
-98.99497487437186,-95.97989949748744,-137.59931581716813,1
-98.99497487437186,-94.9748743718593,-131.8669142805499,1
-98.99497487437186,-93.96984924623115,-131.82287380426513,1
-98.99497487437186,-92.96482412060301,-66.43040809921425,1
-98.99497487437186,-91.95979899497488,-26.16273411305653,1
-98.99497487437186,-90.95477386934674,-76.5749960297454,1
-98.99497487437186,-89.9497487437186,126.4223850461895,1
-98.99497487437186,-88.94472361809045,108.08223581634297,1
-98.99497487437186,-87.93969849246231,70.67477239994395,1
-98.99497487437186,-86.93467336683418,-65.72338818694753,1
